Order ID,Order Date,Customer ID,Customer Name,Region,State,Product Category,Product Name,Quantity,Sales,Cost,Profit
ORD00001,2024-04-14,CUST0280,Customer_045,North,Delhi,Home & Kitchen,Water Bottle,5,11530,7113.59,4416.41
ORD00002,2025-09-08,CUST0014,Customer_288,West,Maharashtra,Electronics,Laptop,2,4182,2592.0,1590.0
ORD00003,2025-08-26,CUST0143,Customer_004,South,Telangana,Home & Kitchen,Cookware Set,9,33624,20716.83,12907.17
ORD00004,2024-12-10,CUST0053,Customer_048,South,Telangana,Clothing,T-Shirt,6,15456,9221.73,6234.27
ORD00005,2025-04-15,CUST0275,Customer_064,West,Maharashtra,Furniture,Bookshelf,6,14796,11720.48,3075.52
ORD00006,2025-12-22,CUST0036,Customer_024,West,Maharashtra,Clothing,Jacket,5,16310,11795.48,4514.52
ORD00007,2025-04-09,CUST0187,Customer_084,South,Tamil Nadu,Electronics,Smartphone,4,4508,2993.48,1514.52
ORD00008,2024-06-24,CUST0274,Customer_126,East,Odisha,Furniture,Office Chair,5,4420,3238.71,1181.29
ORD00009,2024-11-28,CUST0029,Customer_118,South,Tamil Nadu,Clothing,T-Shirt,5,24310,14972.15,9337.85
ORD00010,2025-08-03,CUST0162,Customer_109,North,Punjab,Clothing,T-Shirt,5,4210,2581.97,1628.03
ORD00011,2024-09-09,CUST0288,Customer_276,West,Gujarat,Home & Kitchen,Cookware Set,8,11760,7402.5,4357.5
ORD00012,2024-05-21,CUST0261,Customer_253,East,Bihar,Home & Kitchen,Mixer Grinder,7,24997,16463.0,8534.0
ORD00013,2025-03-08,CUST0033,Customer_198,North,Delhi,Electronics,Smartphone,3,4830,3804.22,1025.78
ORD00014,2024-01-12,CUST0059,Customer_275,West,Rajasthan,Clothing,Jeans,9,21231,17862.14,3368.86
ORD00015,2025-04-09,CUST0002,Customer_135,East,Bihar,Furniture,Bookshelf,2,5408,3679.76,1728.24
ORD00016,2024-06-05,CUST0192,Customer_083,South,Telangana,Electronics,Smartphone,5,22290,16331.68,5958.32
ORD00017,2025-01-06,CUST0158,Customer_123,North,Haryana,Furniture,Bookshelf,8,3672,2142.83,1529.17
ORD00018,2024-03-11,CUST0273,Customer_065,North,Delhi,Home & Kitchen,Mixer Grinder,2,2002,1540.68,461.32
ORD00019,2025-09-13,CUST0217,Customer_109,South,Telangana,Clothing,Jeans,9,14868,9359.66,5508.34
ORD00020,2025-06-13,CUST0232,Customer_062,South,Telangana,Furniture,Desk,7,23513,16022.46,7490.54
ORD00021,2024-08-23,CUST0113,Customer_004,South,Karnataka,Electronics,Smartphone,6,2832,2057.43,774.57
ORD00022,2024-02-02,CUST0170,Customer_037,North,Haryana,Home & Kitchen,Cookware Set,1,2175,1240.23,934.77
ORD00023,2025-08-07,CUST0296,Customer_243,South,Tamil Nadu,Home & Kitchen,Cookware Set,8,16440,11701.5,4738.5
ORD00024,2025-03-17,CUST0182,Customer_217,South,Tamil Nadu,Clothing,T-Shirt,4,4288,2483.09,1804.91
ORD00025,2024-12-13,CUST0056,Customer_128,West,Gujarat,Home & Kitchen,Water Bottle,1,1106,628.41,477.59
ORD00026,2024-10-12,CUST0237,Customer_128,South,Karnataka,Clothing,Jacket,8,11584,7837.32,3746.68
ORD00027,2025-07-07,CUST0008,Customer_048,North,Punjab,Clothing,Jacket,2,1428,1064.78,363.22
ORD00028,2025-02-14,CUST0031,Customer_085,South,Karnataka,Clothing,T-Shirt,8,33944,20845.83,13098.17
ORD00029,2025-12-14,CUST0285,Customer_250,West,Maharashtra,Clothing,T-Shirt,5,20135,12797.3,7337.7
ORD00030,2025-07-09,CUST0032,Customer_161,South,Karnataka,Furniture,Desk,4,3116,2255.22,860.78
ORD00031,2025-06-27,CUST0081,Customer_030,North,Delhi,Home & Kitchen,Mixer Grinder,8,35352,29194.25,6157.75
ORD00032,2024-08-28,CUST0207,Customer_062,North,Delhi,Electronics,Smartphone,10,8560,6441.95,2118.05
ORD00033,2025-08-20,CUST0290,Customer_268,South,Telangana,Home & Kitchen,Mixer Grinder,1,971,656.17,314.83
ORD00034,2024-05-14,CUST0154,Customer_235,East,Odisha,Furniture,Office Chair,6,13530,8519.63,5010.37
ORD00035,2024-03-16,CUST0276,Customer_110,East,West Bengal,Electronics,Laptop,8,39296,33355.58,5940.42
ORD00036,2024-06-10,CUST0225,Customer_279,East,West Bengal,Furniture,Bookshelf,2,4602,3041.27,1560.73
